new_urls,count
https://www.jabong.com/top-shop-online,42006
https://www.jabong.com/end-of-reason-sale-online-flat50,5383
https://www.jabong.com/men-red_chief,390
https://www.jabong.com/men-fj-bracelets,492
https://www.jabong.com/women-color-red,67
https://www.jabong.com/apparel-calvin-klein-underwear,1075
https://www.jabong.com/women-new-products,243748
https://www.jabong.com/women-fj-earrings,8819
https://www.jabong.com/men-adidas,2407
https://www.jabong.com/womens-day,234
https://www.jabong.com/men-football-shoes,329
https://www.jabong.com/men-color-red,175
https://www.jabong.com/men,176131
https://www.jabong.com/men-leather-jackets,172
https://www.jabong.com/women-dungarees-jumpsuits,1152
https://www.jabong.com/women,243748
https://www.jabong.com/men-clarks,453
https://www.jabong.com/men-denim-jackets,77
https://www.jabong.com/kids-boys-trackwear-nightwear,299
https://www.jabong.com/bags-adidas,13
https://www.jabong.com/apparel-biba,1823
https://www.jabong.com/men-floaters,229
https://www.jabong.com/hush_puppies,0
https://www.jabong.com/men-levis,1038
https://www.jabong.com/republic-of-denim,511
https://www.jabong.com/men-reebok,1173
https://www.jabong.com/men-moccasins,1122
https://www.jabong.com/brands,0
https://www.jabong.com/kids-kids-shirts,4555
https://www.jabong.com/men-ethnic-wear,120
https://www.jabong.com/men-watches,3432
https://www.jabong.com/men-fila,809
https://www.jabong.com/women-sandals,4090
https://www.jabong.com/men-new-products,1
https://www.jabong.com/clearance-sale,0
https://www.jabong.com/men-tommy_hilfiger,2274
https://www.jabong.com/being-human-shop-online,0
https://www.jabong.com/women-salwars-churidars,435
https://www.jabong.com/apparel,315855
https://www.jabong.com/all-products,448909
https://www.jabong.com/women-slingbags,47
https://www.jabong.com/women-apparel,153630
https://www.jabong.com/puma,5478
https://www.jabong.com/women-lux-lyra,282
https://www.jabong.com/inc_5,939
https://www.jabong.com/steve-madden,535
https://www.jabong.com/ethnic-fest-collection,3555
https://www.jabong.com/shoes-dc,331
https://www.jabong.com/women-color-white,98
https://www.jabong.com/men-winter-wear,19085
https://www.jabong.com/new-balance,331
https://www.jabong.com/red_tape,828
https://www.jabong.com/men-liberty,186
https://www.jabong.com/women-w,1087
